keyword,answer
presentation,"Je m'appelle Kévin Tang, diplômé d’un Master en Data Science. Passionné par l’analyse de données et les technologies avancées, j’ai mené plusieurs projets concrets en machine learning, data engineering et visualisation, en m’appuyant sur des outils comme Python, FastAPI, Docker ou Power BI."
formation,"J’ai obtenu un Master en Data Science à l’Université Claude Bernard Lyon 1. Cette formation m’a permis d’acquérir une solide maîtrise des algorithmes de machine learning, des outils de traitement de données massives, ainsi que des techniques de visualisation interactive et de modélisation statistique, le tout renforcé par des projets pratiques."
projets,"J'ai réalisé plusieurs projets couvrant l'intégralité du cycle de vie des données, allant de l'analyse à la visualisation et au déploiement. Parmi ces projets, j'ai mené une analyse approfondie des données de l'EIA lors de mon stage pour optimiser la durabilité énergétique dans les zones résidentielles, en proposant des recommandations visant à réduire les comportements énergivores. J'ai également conçu un pipeline ETL automatisé pour analyser les ventes d’un supermarché avec Python, Docker, PostgreSQL et Power BI. Un autre projet marquant est le développement d'une application de prédiction d'approbation de prêts bancaires en utilisant FastAPI avec intégration CI/CD via GitHub Actions. Enfin, ce chatbot est aussi un de mes projets personnels, combinant NLP, FastAPI et déploiement web."
skills,"Je suis à l’aise avec Python et ses bibliothèques de machine learning/deep learning (scikit-learn, PyTorch, TensorFlow…), et je sais manipuler, visualiser et mettre en production des modèles. Je maîtrise SQL, Docker, FastAPI, Streamlit, et Power BI. Je me forme aussi activement aux outils AWS pour étoffer ma boîte à outils cloud."
poste,"Je recherche un poste de Data Scientist, Data Analyst ou Data Engineer où je pourrai continuer à apprendre, contribuer à des projets concrets et avoir un impact réel grâce à l’exploitation intelligente des données."
disponibilité,"Je suis disponible immédiatement."
lieu,"Je suis basé à Lyon, avec la possibilité de travailler aussi depuis Paris. Je suis mobile sur toute la France, et reste ouvert à une expérience à l’international."
langue,"Je parle couramment anglais, tant à l’écrit qu’à l’oral, avec un niveau B2 au TOEIC et C1 selon Linguaskill. J’ai également des bases solides en espagnol."
équipe,"J'aime travailler en collaboration, partager mes idées et apprendre des autres. J’ai l’habitude d’utiliser Git et GitHub pour le versioning et la gestion de projet en mode collaboratif."
motivation,"Ce qui me passionne dans la data, c’est sa capacité à transformer des données brutes en décisions intelligentes. J’aime donner du sens aux chiffres, dégager des insights pertinents et concevoir des solutions à impact."
hobbies,"En dehors de la data, je suis passionné de football, de randonnées, de lecture, de jeux vidéo, de voyage et de cuisine. Ces activités m’aident à rester curieux, créatif et à maintenir un bon équilibre personnel."
softskills,"On dit souvent que je suis rigoureux, curieux, persévérant et à l’écoute. J’ai une approche structurée des problèmes et j’aime aller au fond des choses pour trouver des solutions efficaces et pragmatiques."
sport,"Je suis supporter de l’Olympique Lyonnais, mais je pratique plutôt le volley-ball et le tennis de table."
